Nazwa zbioru;Zadany obszar;Ilość punktów dla zbioru;Obszar;Punkty w obszarze;Czas obliczeń dla Drzewa KD;Czas obliczeń dla QuadTree
Zestaw A;(0, 0)x(10, 10);100;(0, 0)x(10, 10);0;0,0;0,0
Zestaw A;(-100, -100)x(400, 800);100;(-100, -100)x(400, 800);13;0,0;0,001
Zestaw A;(-500, -500)x(500, 500);100;(-500, -500)x(500, 500);25;0,001;0,0
Zestaw A;(-1000, -1000)x(-700, 1000);100;(-1000, -1000)x(-700, 1000);12;0,0;0,0
Zestaw A;(-1000, -1000)x(1000, 1000);100;(-1000, -1000)x(1000, 1000);100;0,0;0,0
Zestaw B;(0, 0)x(10, 10);2000;(0, 0)x(10, 10);0;0,0;0,0
Zestaw B;(-100, -100)x(400, 800);2000;(-100, -100)x(400, 800);0;0,0;0,0
Zestaw B;(-500, -500)x(500, 500);2000;(-500, -500)x(500, 500);0;0,0;0,0
Zestaw B;(-1000, -1000)x(-700, 1000);2000;(-1000, -1000)x(-700, 1000);0;0,0;0,0
Zestaw B;(-1000, -1000)x(1000, 1000);2000;(-1000, -1000)x(1000, 1000);2;0,0;0,0
Zestaw C;(0, 0)x(10, 10);2000;(0, 0)x(10, 10);0;0,0;0,0
Zestaw C;(-100, -100)x(400, 800);2000;(-100, -100)x(400, 800);375;0,001;0,0
Zestaw C;(-500, -500)x(500, 500);2000;(-500, -500)x(500, 500);735;0,0;0,001
Zestaw C;(-1000, -1000)x(-700, 1000);2000;(-1000, -1000)x(-700, 1000);308;0,001;0,0
Zestaw C;(-1000, -1000)x(1000, 1000);2000;(-1000, -1000)x(1000, 1000);2000;0,002;0,0
Zestaw D;(0, 0)x(10, 10);10000;(0, 0)x(10, 10);0;0,0;0,0
Zestaw D;(-100, -100)x(400, 800);10000;(-100, -100)x(400, 800);1123;0,002;0,001
Zestaw D;(-500, -500)x(500, 500);10000;(-500, -500)x(500, 500);2474;0,003;0,0018
Zestaw D;(-1000, -1000)x(-700, 1000);10000;(-1000, -1000)x(-700, 1000);1469;0,002;0,0
Zestaw D;(-1000, -1000)x(1000, 1000);10000;(-1000, -1000)x(1000, 1000);10000;0,011;0,0
Zestaw E;(0, 0)x(10, 10);10000;(0, 0)x(10, 10);1;0,0;0,0
Zestaw E;(-100, -100)x(400, 800);10000;(-100, -100)x(400, 800);1196;0,001;0,001
Zestaw E;(-500, -500)x(500, 500);10000;(-500, -500)x(500, 500);2601;0,003;0,002
Zestaw E;(-1000, -1000)x(-700, 1000);10000;(-1000, -1000)x(-700, 1000);1600;0,0013;0,006
Zestaw E;(-1000, -1000)x(1000, 1000);10000;(-1000, -1000)x(1000, 1000);10000;0,011;0,0
